,kfr_pooled_pooled_p25,kfr_white_male_p25,kfr_black_male_p25,kfr_black_pooled_p25,kfr_white_pooled_p25,jail_black_male_p25,jail_white_male_p25,jail_black_pooled_p25,jail_white_pooled_p25,jail_pooled_pooled_p25,kfr_top20_black_male_p25,kfr_top20_white_male_p25,kfr_top20_black_pooled_p25,kfr_top20_white_pooled_p25,kfr_top20_pooled_pooled_p25
naive,0.004614825584997474,0.03896427893736132,0.02459654363477729,0.02312832683111227,0.023484437345007953,0.03847620889010323,0.026310439317039847,0.0199080343922897,0.013901533814005778,0.0021051388169140567,0.02879657045419892,0.06962819550191045,0.03229965893116725,0.04490430618774944,0.007951310242603631
indep_npmle,0.00441481742192889,0.036133735214822264,0.0230010254634039,0.021626699142131556,0.02194761811083789,0.036073964378068195,0.024285161431338315,0.01862335739199717,0.012726372496915606,0.0019690040656468147,0.027071654009800057,0.06416843529361156,0.030486143850505316,0.04134897985798861,0.007598182949423885
indep_gauss,0.004414907044309565,0.036101983144628806,0.02299101393585546,0.02163984848613059,0.02192317918412379,0.03651983616119297,0.024393274628346912,0.018723318872483484,0.013058458695093523,0.0019879509788590364,0.027341017542021576,0.06429788616574685,0.030746467786034785,0.04138773152498381,0.0076977482226251205
close_npmle,0.004411250106684829,0.03620205179001825,0.022758530745337183,0.021471833531452614,0.021958125085372694,0.03349764036068818,0.02343953523831899,0.017377486140041604,0.012493521391379794,0.001856253081729118,0.02524692979219098,0.06298225985685585,0.028540178306831112,0.0409555170977719,0.007520253558204094
close_gauss,0.004409533614577179,0.03620610058484891,0.02280142300650172,0.021530369939257017,0.021959319266065258,0.03352852800200688,0.0236012695495943,0.01741822968458815,0.012601373845242219,0.0018606811520200336,0.025361414404910743,0.06307702099869186,0.028711967679527668,0.04096444623425841,0.007528255215863454
close_gauss_parametric,0.00440740183435614,0.03616200484280746,0.022806705028687233,0.021531283253388118,0.021955133247490155,0.033727115463633814,0.023631279003246596,0.017628043638211254,0.012550711657442511,0.0018611265940527357,0.025537878225226927,0.06301546380017248,0.028953735879097525,0.04096328868090035,0.0075384227511924974
indep_npmle_nocov,0.00456475323533573,0.036558095452095395,0.023329293275391256,0.02194719290674664,0.022343722749591958,0.03563717609133293,0.024326483938859784,0.01836763698785153,0.012752805536699375,0.0020052425555010835,0.02705030526241571,0.06489473149401323,0.03047186471321829,0.04205004201480031,0.007917758849859303
indep_gauss_nocov,0.004636939229511042,0.036544692128076234,0.023488682275894485,0.02220139165864454,0.022330170717082178,0.03606425477294493,0.024502336457393244,0.018446765675744714,0.012809827436682714,0.0020623741020556322,0.027390862959193293,0.06541350935679252,0.03084676478331065,0.04228678408538816,0.00872217236961051
close_npmle_nocov,0.004513383836483455,0.03659072214619717,0.02269232117603691,0.02143980315884254,0.022312481120558343,0.03405773991562755,0.023453847672701724,0.017631869246419928,0.012501031436931195,0.0019021581044265361,0.02523737312931379,0.06348409747828569,0.02854173129950496,0.04164576456334248,0.007601098776481069
close_gauss_nocov,0.004503810173104401,0.036566996929433083,0.022712710280211802,0.021469886509379196,0.022296694963019056,0.03409627810874155,0.02361768750567816,0.017661684351557107,0.012604192497071492,0.0019090923052361992,0.02532290806023666,0.06347225600532866,0.028653049498516336,0.0416145878171096,0.0076108289825116615
close_gauss_parametric_nocov,0.004507224870000828,0.03657814787174737,0.022768198254296892,0.021520170927469072,0.02231233384052549,0.03428737669801845,0.023635946600941492,0.01789865908215712,0.01255390695835105,0.0019101552147323835,0.025518713023118155,0.06347255613880687,0.0289421095347218,0.04169008302833496,0.007639516531244513
